,"neutral,""According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing ."""
870,"positive,""Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 ."""
871,"positive,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago ."
872,"positive,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team ."
873,"positive,""Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history ."""
874,"positive,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million ."
875,"positive,""Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period ."""
876,"positive,Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia ."
877,"positive,""Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia ."""
878,"positive,""Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn ."""
879,"positive,""Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery ."""
880,"positive,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 ."
881,"positive,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each ."
882,"positive,""Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''"""
883,"positive,Sports equipment sales also progressed well owing to the prolonged winter season ."
884,"positive,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia ."
885,"neutral,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results ."
886,"positive,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) ."
887,"positive,That topped consensus forecasts for earnings of 0.21 euros a share ."
888,"positive,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance ."
889,"positive,The acquisition will have an immediate positive impact on Aspocomp 's financial result ."
890,"positive,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company ."
891,"positive,""The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil ."""
892,"positive,""The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively ."""
893,"positive,""The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said ."""
894,"positive,The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China ."
895,"positive,The company aims to maintain this trend in profitability during the current year ."
896,"positive,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant ."
897,"positive,""The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits ."""
898,"positive,The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations ."
899,"positive,""The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 ."""
900,"positive,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 ."
901,"positive,The company will also be compensated for acting as a reserve batch plant ."
902,"positive,The Group also has a strong global position in other fishing categories ."
903,"positive,The Group 's cash flow from operations will be positive ."
904,"positive,The mill has long traditions and holds an established position in the markets ."
905,"positive,""The move is aimed at boosting sales , cost-efficiency and market share in Finland ."""
906,"neutral,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions ."
907,"positive,""The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ."""
908,"positive,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management ."
909,"positive,""The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara ."""
910,"positive,""The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) ."""
911,"positive,This combined with foreign investments creates interesting opportunities for Solteq ."
912,"positive,""This is Done Logistics ' largest order in Norway , the diversified group said ."""
913,"positive,This resulted in improved sales figures in Sweden ."
914,"neutral,""To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation ."""
915,"positive,""Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai ."""
916,"positive,""Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 ."""
917,"positive,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal ."
918,"positive,""Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia ."""
919,"positive,""We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world ."""
920,"positive,We are now in a position to pursue novel clinical candidates going forward . ''"
921,"positive,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs ."
922,"positive,`` Consumers have very well received our packed fresh meat ."
923,"positive,`` Demand for sports equipment was good in 2005 ."
924,"positive,""`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''"""
925,"positive,`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe ."
926,"positive,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients ."
927,"positive,""`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said ."""
928,"positive,""`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing ."""
929,"positive,`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US ."
930,"positive,""`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''"""
931,"positive,`` We 've been feeling quite positive about the region as a whole ."
932,"positive,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF ."
933,"positive,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before ."
934,"positive,""Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland ."""
935,"positive,Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US ."
936,"positive,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense ."
937,"positive,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria ."
938,"positive,""Finnish P+¦yry has been awarded an engineering contract by CFR , the national railway company of Romania ."""
939,"positive,""According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production ."""
940,"positive,""As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis ."""
941,"positive,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure ."
942,"positive,CEO Erkki J+Ærvinen is happy with the company 's performance in 2010 ."
943,"positive,Deliveries have started and the network will be ready for a launch soon ."
944,"positive,""Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur ."""
945,"positive,""EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 ."""
946,"positive,""Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said ."""
947,"positive,""Exel Composites ' long-term growth prospects remain favourable , however ."""
948,"positive,fi is developing cooperation in keyword advertising with Microsoft ."
949,"positive,""Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia ."""
950,"positive,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections ."
951,"positive,""Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ."""
952,"neutral,""Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions ."""
953,"positive,""However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said ."""
954,"positive,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 ."
955,"positive,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market ."
956,"positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers ."
957,"positive,Nordea sees a return to positive growth for the Baltic countries in 2011 ."
958,"positive,Operating profit improved by 16.7 % to EUR 7.7 mn ."
959,"positive,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn ."
960,"positive,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 ."
961,"positive,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn ."
962,"positive,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market ."
963,"positive,""Previously , the company anticipated its operating profit to improve over the same period ."""
964,"positive,Productional situation has now improved ."
965,"positive,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland ."
966,"positive,""Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur ."""
967,"positive,""Sales VAT inclusive expanded by 19 percent , to 351 million euros ."""
968,"positive,Strong growth has continued also in China ."
969,"positive,Synergy benefits will start to materialise in the second quarter ."
970,"positive,Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems ."
971,"positive,""Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo ."""
972,"positive,The ` buy ' recommendation was reiterated ."
973,"positive,The aim is to achieve EUR 2.5 mn yearly savings ."
974,"positive,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high ."
975,"positive,""The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ."""
976,"positive,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million ."
977,"neutral,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 ."
978,"positive,The EPS improved to EUR0 .38 from EUR0 .27 ."
979,"positive,The expansion aims to attract new customers both in Finland and abroad ."
980,"positive,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway ."
981,"positive,""The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 ."""
982,"positive,""The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 ."""
983,"positive,The Finnish group anticipates a sales gain of EUR42m after tax and expenses ."
984,"positive,""The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks ."""
985,"positive,The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 ."
986,"positive,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year ."
987,"positive,""The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations ."""
988,"positive,The stock of new machines is reasonably small and new orders bring work ."
989,"positive,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan ."
990,"positive,These companies will be able to keep their market positions ."
991,"positive,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services ."
992,"neutral,This lays a foundation for sustainable business development for the long term ."
993,"positive,""Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work ."""
994,"positive,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million ."
995,"positive,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk ."
996,"positive,Uponor improved its performance in spite of the decrease in residential construction in the US ."
997,"neutral,The inventor was issued U.S. Patent No. ."
998,"positive,""Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today ."""
999,"neutral,Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue ."
1000,"neutral,""Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients ."""
1001,"neutral,""Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions ."""
1002,"neutral,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues ."
1003,"neutral,`` BG Crane has been a strong partner for Hiab in Australia for many years ."
1004,"neutral,""Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained ."""
1005,"neutral,""The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes ."""
1006,"neutral,""Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services ."""
1007,"neutral,""The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix ."""
1008,"neutral,""It 's `` finger-friendly '' , and to my opinion , really fast ."""
1009,"neutral,""`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here ."""
1010,"neutral,""`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch ."""
1011,"neutral,""A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added ."""
1012,"positive,""About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses ."""
1013,"neutral,""ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community ."""
1014,"neutral,Juha-Pekka Weckstr+¦m has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko ."
1015,"neutral,""According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors ."""
1016,"neutral,""According to the original merger plan , Scanfil would get a 79 % stake in the combined business ."""
1017,"neutral,""According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message ."""
1018,"neutral,""Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs ."""
1019,"neutral,""Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care ."""
1020,"neutral,""Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ."""
1021,"neutral,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % ."
1022,"neutral,All are welcome ."
1023,"neutral,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention ."
1024,"neutral,""An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 ."""
1025,"neutral,""Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 ."""
1026,"neutral,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ."
1027,"positive,""By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated ."""
1028,"neutral,""Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ."""
1029,"neutral,""CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds ."""
1030,"neutral,""CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 ."""
1031,"neutral,""cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries ."""
1032,"neutral,""Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-£323-£6201 USA ."""
1033,"neutral,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 ."
1034,"neutral,""FinancialWire tm is a fully independent , proprietary news wire service ."""
1035,"neutral,Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time ."
1036,"positive,""Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -‹ Magazine 's 2011 Teachers ' Choice Award for the Classroom ."""
1037,"neutral,""Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio ."""
1038,"neutral,Halonen 's office acknowledged receiving the letter but declined comment ."
1039,"positive,He believes that the soy-oats have a good chance of entering the UK market ."
1040,"neutral,""He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products ."""
1041,"neutral,""Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement ."""
1042,"neutral,""However , in March 2009 , the government of St. Petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth USD 10-15mn to the company Delta ."""
1043,"neutral,""In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp ."""
1044,"neutral,""In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts ."""
1045,"neutral,""Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings ."""
1046,"neutral,It also recovers valuable raw material for Kemira 's water chemical production ."
1047,"neutral,""It is necessary to strengthen the company 's operations , however ."""
1048,"neutral,It will use the proceeds from the transaction to achieve its target ."
1049,"positive,""Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results ."""
1050,"positive,""Last year , Lemminkainen completed the Kouvola K-supermarket contract ."""
1051,"neutral,Le Lay succeeds Walter G++nter and will be based in Finland ."
1052,"neutral,""Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 ."""
1053,"neutral,""Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix ."""
1054,"neutral,""Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 ."""
1055,"neutral,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia ."
1056,"positive,""Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content ."""
1057,"neutral,Mformation provides enhanced management of these applications by enabling configuration and control throughout their lifecycle ."
1058,"neutral,""Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company ."""
1059,"neutral,""Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today ."""
1060,"neutral,""Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken ."""
1061,"neutral,""Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business ."""
1062,"neutral,""Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes ."""
1063,"neutral,""Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface ."""
1064,"neutral,""On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor ."""
1065,"neutral,""Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets ."""
1066,"positive,Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans ."
1067,"neutral,Other potential clients include public administration organizations investing in utility networks and services ."
1068,"neutral,""Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region ."""
1069,"positive,""Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia ."""
1070,"neutral,""POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability ."""
1071,"neutral,""Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking ."""
1072,"neutral,Satama and Trainers ' House will remain as names and independent brands of the business areas ."
1073,"neutral,""Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa ."""
1074,"positive,""Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs ."""
1075,"neutral,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system ."
1076,"positive,""Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality ."""
1077,"positive,TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions ."
1078,"neutral,""The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company ."""
1079,"neutral,""The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module ."""
1080,"neutral,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed ."
1081,"neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ."
1082,"neutral,The company admits that 36 months is a relatively short time when operating in Russia ."
1083,"neutral,The company has a wide selection of metal products and services ."
1084,"neutral,""The company is in charge of all natural gas storage activities in France , Great Britain , and Germany ."""
1085,"neutral,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time ."
1086,"neutral,The Court 's decision will also promote genuine competition in services"
1087,"neutral,""The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country ."""
1088,"neutral,""The device can also be used for theft protection and positioning of vehicles , boats and other assets ."""
1089,"neutral,""The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+Æskyl+Æ , Oulu and Vaasa , and to polytechnics to be announced later ."""
1090,"neutral,""The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year ."""
1091,"neutral,The first phase will be completed by the end of 2012 ."
1092,"neutral,""The guidance has been set at 90 basis points over mid-swaps , the report said ."""
1093,"neutral,The invention carries International Patent Publication No. ."
1094,"neutral,""The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen ."""
1095,"neutral,""The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam ."""
1096,"neutral,""The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta ."""
1097,"neutral,The issuer is solely responsible for the content of this announcement ."
1098,"neutral,The issuer is solely responsible for the content of this announcement ."
1099,"neutral,""The market making in accordance with the agreement will begin on September 24 , 2009 ."""
1100,"neutral,""The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ."""
1101,"neutral,The ore body is sufficient to support anticipated production for at least 46 years ."
1102,"neutral,The original patent was filed in Finland under application No. ."
1103,"neutral,""The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 ."""
1104,"positive,""The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors ."""
1105,"neutral,""The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash ."""
1106,"neutral,The right margin will be viewed separately in detail with every customer ."
1107,"neutral,The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from ."
1108,"positive,""The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues ."""
1109,"neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI ."
1110,"neutral,""The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million ."""
1111,"neutral,""The value of the deal exceeds EUR500 ,000 , the company said ."""
1112,"neutral,""This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform ."""
1113,"positive,This is the second successful effort for the financial investor this year ."
1114,"neutral,Travel expenses would be reimbursed in accordance with the travel policy of the company ."
1115,"neutral,Welcome !"
1116,"neutral,Wellness services will be important in the future ."
1117,"neutral,""You need to be ready when the window opens up , Rosberg said ."""
1118,"neutral,- Tikkurila inspires you to color your life ."
1119,"positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package ."
1120,"neutral,CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) ."
1121,"neutral,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) ."
1122,"positive,""` For Nordea , moving into the new headquarters signifies the beginning of a new era ."""
1123,"neutral,""` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO ."""
1124,"neutral,`` Directors and shareholders alike should ask why these practices were allowed to continue . ''"
1125,"neutral,""`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said ."""
1126,"positive,""`` I 'm happy with the outcome , '' Sneed said after the hearing ."""
